6023 78449
455 before 107
456 realized 17
457 violet 3
458 seem 16
459 knocked 18
460 ground 34
461 contrary 2
462 face 88
463 split 6
464 wide 12
465 smile 13
466 squeaky 1
467 voice 59
468 passersby 2
469 stare 5
470 dont 145
471 my 106
472 dear 20
473 sir 24
474 me 217
475 today 15
476 rejoice 1
477 youknowwho 16
478 has 32
479 gone 50
480 muggles 19
481 yourself 14
482 should 43
483 celebrating 5
484 happy 13
485 hugged 3
486 middle 13
487 off 201
488 stood 37
489 rooted 2
490 spot 8
491 complete 4
492 stranger 7
493 muggle 22
494 whatever 9
495 rattled 4
496 set 26
497 imagining 5
498 hoped 4
499 approve 1
500 imagination 2
501 pulled 51
502 driveway 1
503 thing 48
504 improve 2
505 spotted 11
506 sitting 26
507 wall 36
508 markings 3
509 its 235
510 shoo 1
511 loudly 18
512 move 26
513 stern 4
514 behavior 1
515 wondered 14
516 trying 64
517 pull 12
518 let 62
519 determined 3
520 wife 3
521 nice 24
522 told 93
523 dinner 8
524 doors 16
525 problems 4
526 daughter 1
527 how 135
528 learned 10
529 word 19
530 wont 25
531 act 1
532 normally 3
533 bed 45
534 went 71
535 living 10
536 room 90
537 catch 24
538 report 4
539 evening 14
540 news 9
541 finally 23
542 birdwatchers 1
543 everywhere 6
544 reported 1
545 nations 1
546 behaving 3
547 unusually 2
548 hunt 1
549 night 46
550 are 158
551 ever 58
552 hundreds 11
553 sightings 1
554 birds 5
555 flying 15
556 every 54
557 direction 13
558 since 22
559 sunrise 1
560 experts 1
561 unable 2
562 explain 12
563 suddenly 69
564 sleeping 3
565 pattern 1
566 newscaster 1
567 allowed 18
568 grin 6
569 jim 2
570 mcguffin 1
571 weather 3
572 going 135
573 showers 1
574 tonight 21
575 well 138
576 ted 1
577 weatherman 1
578 only 111
579 acting 3
580 oddly 2
581 viewers 1
582 far 22
583 apart 13
584 kent 2
585 yorkshire 2
586 dundee 1
587 phoning 1
588 tell 69
589 instead 16
590 rain 4
591 promised 3
592 yesterday 7
593 theyve 7
594 downpour 1
595 shooting 6
596 stars 9
597 perhaps 18
598 bonfire 1
599 early 4
600 week 24
601 folks 1
602 can 82
603 promise 2
604 wet 4
605 frozen 2
606 armchair 3
607 britain 3
608 place 34
609 whisper 8
610 carrying 10
611 two 100
612 cups 2
613 tea 14
614 cleared 6
615 throat 5
616 nervously 11
617 er 18
618 petunia 57
619 havent 21
620 your 148
621 lately 3
622 expected 12
623 shocked 7
624 angry 15
625 sharply 7
626 stuff 15
627 mumbled 5
628 funnylooking 1
629 maybe 19
630 do 168
631 crowd 17
632 sipped 1
633 through 125
634 pursed 1
635 lips 9
636 whether 10
637 dared 3
638 decided 11
639 dare 12
640 casually 4
641 dudleys 23
642 age 5
643 wouldnt 48
644 suppose 30
645 stiffly 3
646 whats 37
647 howard 1
648 isnt 22
649 nasty 14
650 common 23
651 ask 33
652 oh 68
653 heart 25
654 sinking 2
655 horribly 3
656 agree 2
657 subject 3
658 upstairs 13
659 while 60
660 bathroom 5
661 crept 11
662 bedroom 6
663 peered 7
664 front 52
665 staring 23
666 waiting 19
667 related 1
668 pair 16
669 asleep 21
670 quickly 44
671 lay 17
672 awake 7
673 turning 16
674 comforting 2
675 near 16
676 kind 10
677 mixed 4
678 yawned 2
679 turned 77
680 affect 1
681 wrong 18
682 drifting 1
683 sleep 18
684 showing 7
685 sleepiness 1
686 statue 3
687 fixed 6
688 unblinkingly 2
689 quiver 3
690 slammed 7
691 nor 6
692 swooped 7
693 midnight 11
694 appeared 12
695 watching 19
696 silently 7
697 popped 2
698 tail 14
699 twitched 5
700 narrowed 2
701 tall 12
702 judging 1
703 silver 32
704 hair 37
705 beard 12
706 both 32
707 long 71
708 enough 48
709 tuck 1
710 belt 1
711 robes 26
712 purple 13
713 swept 2
714 highheeled 1
715 buckled 1
716 boots 5
717 blue 11
718 bright 18
719 sparkling 4
720 behind 79
721 halfmoon 2
722 spectacles 2
723 nose 31
724 crooked 2
725 broken 12
726 least 11
727 mans 3
728 albus 12
729 dumbledore 142
730 where 100
731 unwelcome 1
732 busy 11
733 rummaging 2
734 other 90
735 end 48
736 amuse 2
737 chuckled 7
738 muttered 21
739 known 11
740 inside 59
741 pocket 17
742 cigarette 1
743 lighter 2
744 flicked 3
745 held 22
746 air 47
747 clicked 7
748 nearest 6
749 lamp 15
750 pop 5
751 flickered 2
752 darkness 7
753 twelve 17
754 times 18
755 putouter 3
756 lights 5
757 whole 33
758 pinpricks 1
759 distance 4
760 beadyeyed 1
761 able 26
762 pavement 1
763 slipped 10
764 moment 47
765 spoke 19
766 fancy 1
767 seeing 4
768 here 112
769 professor 180
770 mcgonagall 95
771 smiling 20
772 rather 22
773 severelooking 1
774 woman 18
775 square 2
776 glasses 15
777 exactly 22
778 shape 3
779 emerald 3
780 black 50
781 drawn 2
782 tight 8
783 distinctly 1
784 ruffled 3
785 asked 60
786 ve 2
787 sit 18
788 stiff 2
789 brick 3
790 dozen 3
791 feasts 2
792 parties 2
793 sniffed 4
794 everyones 4
795 impatiently 3
796 theyd 36
797 careful 10
798 somethings 3
799 dark 59
800 livingroom 1
801 flocks 1
802 theyre 41
803 completely 6
804 bound 4
805 notice 8
806 ill 49
807 bet 16
808 dedalus 4
809 diggle 3
810 sense 4
811 cant 63
812 gently 6
813 weve 40
814 precious 2
815 celebrate 2
816 eleven 16
817 irritably 3
818 lose 13
819 heads 19
820 downright 2
821 careless 2
822 streets 2
823 swapping 1
824 rumors 3
825 threw 17
826 sharp 11
827 sideways 4
828 glance 3
829 fine 7
830 seems 8
831 disappeared 17
832 us 81
833 really 73
834 certainly 8
835 we 152
836 thankful 1
837 care 8
838 lemon 7
839 drop 8
840 sweet 4
841 im 121
842 fond 2
843 coldly 4
844 drops 3
845 surely 3
846 sensible 1
847 person 8
848 call 19
849 knowwho 2
850 persuade 2
851 proper 5
852 voldemort 31
853 flinched 1
854 unsticking 1
855 gets 9
856 confusing 2
857 keep 56
858 frightened 5
859 voldemorts 7
860 haven 1
861 t 2
862 sounding 7
863 exasperated 1
864 admiring 3
865 youre 57
866 everyone 55
867 knows 21
868 youknow 2
869 flatter 1
870 calmly 3
871 powers 3
872 will 89
873 noble 2
874 use 25
875 lucky 17
876 blushed 2
877 madam 36
878 pomfrey 12
879 liked 14
880 earmuffs 1
881 shot 11
882 hes 75
883 reached 37
884 anxious 2
885 discuss 1
886 real 12
887 cold 25
888 hard 29
889 neither 10
890 piercing 4
891 plain 3
892 believe 22
893 true 14
894 choosing 2
895 answer 22
896 pressed 7
897 is 175
898 godrics 1
899 hollow 1
900 find 54
901 rumor 1
902 lily 7
903 james 5
904 bowed 9
905 gasped 20
906 patted 2
907 shoulder 15
908 heavily 4
909 mcgonagalls 6
910 trembled 3
911 kill 20
912 power 10
913 somehow 13
914 broke 11
915 nodded 10
916 glumly 1
917 faltered 1
918 done 44
919 killed 14
920 astounding 1
921 stop 45
922 heaven 2
923 survive 1
924 guess 4
925 may 10
926 lace 1
927 handkerchief 5
928 dabbed 1
929 beneath 6
930 great 72
931 sniff 2
932 took 63
933 golden 9
934 watch 18
935 examined 3
936 odd 13
937 hands 34
938 numbers 2
939 planets 6
940 moving 8
941 hagrids 34
942 late 15
943 id 31
944 places 4
945 ive 75
946 bring 5
947 aunt 65
948 uncle 121
949 family 27
950 mean 34
951 live 12
952 cried 11
953 jumping 3
954 feet 52
955 pointing 18
956 less 10
957 kicking 1
958 mother 28
959 sweets 7
960 best 33
961 firmly 3
962 written 11
963 letter 46
964 repeated 6
965 faintly 2
966 understand 17
967 hell 17
968 famous 24
969 legend 1
970 surprised 7
971 future 2
972 books 44
973 world 24
974 seriously 2
975 top 34
976 turn 19
977 boys 18
978 talk 21
979 remember 39
980 cara 2
981 growing 1
982 ready 16
983 take 63
984 opened 19
985 mouth 21
986 swallowed 8
987 course 49
988 getting 32
989 hiding 7
990 underneath 11
991 bringing 5
992 wise 3
993 trust 7
994 hagrid 336
995 life 38
996 grudgingly 1
997 pretend 4
998 does 24
999 tend 1
1000 low 14
1001 rumbling 3
1002 sound 18
1003 silence 15
1004 grew 5
1005 steadily 1
1006 louder 1
1007 headlight 1
1008 swelled 2
1009 roar 3
1010 huge 20
1011 motorcycle 8
1012 landed 11
1013 astride 1
1014 simply 8
1015 wild 13
1016 tangles 1
1017 bushy 3
1018 hid 2
1019 size 10
1020 trash 5
1021 lids 1
1022 leather 3
1023 baby 10
1024 dolphins 1
1025 vast 3
1026 muscular 1
1027 arms 23
1028 holding 26
1029 bundle 5
1030 blankets 6
1031 relieved 6
1032 borrowed 3
1033 giant 24
1034 climbing 3
1035 carefully 13
1036 sirius 2
1037 lent 3
1038 destroyed 4
1039 started 49
1040 swarmin 1
1041 flyin 1
1042 bristol 1
1043 bent 14
1044 forward 34
1045 visible 2
1046 fast 20
1047 under 39
1048 tuft 1
1049 jetblack 1
1050 forehead 12
1051 curiously 5
1052 shaped 3
1053 cut 8
1054 bolt 4
1055 lightning 6
1056 whispered 35
1057 scar 17
1058 forever 5
1059 scars 2
1060 handy 1
1061 myself 9
1062 above 16
1063 knee 4
1064 perfect 6
1065 london 14
1066 underground 7
1067 give 33
1068 wed 13
1069 shaggy 2
1070 scratchy 1
1071 whiskery 1
1072 howl 1
1073 wounded 1
1074 dog 22
1075 shhh 1
1076 hissed 7
1077 youll 34
1078 wake 9
1079 sssorry 1
1080 sobbed 4
1081 taking 19
1082 burying 1
1083 cccant 1
1084 stand 19
1085 poor 8
1086 ter 78
1087 sad 3
1088 grip 3
1089 patting 3
1090 gingerly 1
1091 arm 19
1092 stepped 18
1093 laid 3
1094 doorstep 2
1095 tucked 3
1096 harrys 113
1097 full 36
1098 minute 12
1099 three 65
1100 shoulders 7
1101 shook 18
1102 furiously 11
1103 twinkling 2
1104 usually 11
1105 shone 4
1106 dumbledores 16
1107 business 10
1108 staying 4
1109 go 134
1110 join 6
1111 celebrations 1
1112 yeah 21
1113 muffled 3
1114 takin 4
1115 bike 5
1116 gnight 1
1117 wiping 5
1118 streaming 2
1119 jacket 3
1120 sleeve 4
1121 swung 14
1122 onto 38
1123 kicked 7
1124 engine 3
1125 rose 11
1126 shall 7
1127 nodding 4
1128 blew 6
1129 reply 1
1130 once 74
1131 balls 11
1132 lamps 1
1133 glowed 2
1134 orange 4
1135 make 53
1136 slinking 1
1137 step 12
1138 luck 10
1139 murmured 7
1140 heel 2
1141 swish 3
1142 breeze 2
1143 neat 5
1144 hedges 1
1145 silent 9
1146 tidy 2
1147 inky 1
1148 astonishing 3
1149 happen 11
1150 rolled 11
1151 without 41
1152 waking 1
1153 hand 67
1154 closed 5
1155 beside 4
1156 slept 3
1157 knowing 10
1158 special 7
1159 woken 4
1160 hours 9
1161 scream 3
1162 milk 1
1163 bottles 7
1164 spend 2
1165 weeks 11
1166 prodded 2
1167 pinched 1
1168 cousin 3
1169 meeting 5
1170 hushed 2
1171 voices 5
1172 vanishing 2
1173 glass 21
1174 ten 30
1175 sun 5
1176 gardens 1
1177 lit 8
1178 brass 5
1179 fateful 1
1180 photographs 5
1181 mantelpiece 1
1182 showed 16
1183 ago 13
1184 pictures 1
1185 pink 13
1186 beach 1
1187 ball 12
1188 differentcolored 1
1189 bonnets 1
1190 longer 3
1191 blond 3
1192 riding 1
1193 bicycle 1
1194 carousel 1
1195 fair 4
1196 playing 14
1197 computer 6
1198 game 19
1199 father 28
1200 kissed 2
1201 yet 41
1202 shrill 1
1203 noise 22
1204 start 16
1205 rapped 2
1206 screeched 2
1207 walking 14
1208 kitchen 14
1209 frying 2
1210 pan 1
1211 stove 1
1212 dream 10
1213 feeling 25
1214 demanded 3
1215 bacon 7
1216 burn 2
1217 duddys 1
1218 birthday 14
1219 groaned 5
1220 slowly 20
1221 socks 5
1222 pulling 10
1223 spider 1
1224 used 16
1225 spiders 2
1226 cupboard 22
1227 stairs 10
1228 hall 49
1229 table 45
1230 hidden 10
1231 presents 10
1232 gotten 20
1233 television 10
1234 racing 11
1235 mystery 1
1236 fat 21
1237 hated 9
1238 exercise 2
1239 unless 10
1240 punching 3
1241 favorite 6
1242 often 8
1243 skinny 2
1244 smaller 3
1245 skinnier 1
1246 wear 3
1247 bigger 3
1248 knobbly 3
1249 knees 12
1250 green 28
1251 wore 5
1252 round 23
1253 scotch 1
1254 tape 4
1255 punched 1
1256 own 33
1257 appearance 2
1258 question 10
1259 asking 8
1260 crash 10
1261 parents 24
1262 died 18
1263 questions 14
1264 rule 6
1265 quiet 13
1266 vernon 105
1267 entered 7
1268 comb 1
1269 barked 5
1270 greeting 1
1271 newspaper 7
1272 needed 9
1273 haircut 2
1274 haircuts 1
1275 rest 25
1276 class 23
1277 difference 6
1278 eggs 5
1279 watery 1
1280 thick 14
1281 smoothly 2
1282 angel 1
1283 pig 8
1284 wig 2
1285 plates 6
1286 egg 10
1287 difficult 12
1288 meanwhile 5
1289 counting 3
1290 thirtysix 1
1291 year 30
1292 darling 1
1293 counted 4
1294 auntie 2
1295 marges 2
1296 present 5
1297 mommy 4
1298 daddy 1
1299 thirtyseven 1
1300 red 26
1301 coming 34
1302 began 23
1303 wolfing 1
1304 case 12
1305 scented 1
1306 danger 4
1307 hows 3
1308 popkin 1
1309 thirty 5
1310 thirtynine 1
1311 sweetums 1
1312 grabbed 12
1313 parcel 9
1314 wants 7
1315 moneys 1
1316 worth 8
1317 atta 1
1318 rang 6
1319 unwrap 4
1320 video 3
1321 camera 3
1322 remote 2
1323 control 6
1324 airplane 2
1325 sixteen 3
1326 games 3
1327 vcr 2
1328 ripping 2
1329 paper 13
1330 gold 28
1331 wristwatch 1
1332 bad 28
1333 figgs 3
1334 leg 16
1335 horror 10
1336 leap 3
1337 friend 11
1338 adventure 5
1339 parks 1
1340 hamburger 4
1341 restaurants 2
1342 movies 1
1343 figg 5
1344 mad 16
1345 lady 9
1346 smelled 4
1347 cabbage 1
1348 shed 13
1349 owned 4
1350 planned 1
1351 ought 4
1352 feel 20
1353 easy 12
1354 reminded 10
1355 tibbles 1
1356 snowy 5
1357 paws 2
1358 tufty 1
1359 phone 1
1360 marge 3
1361 suggested 8
1362 hates 2
1363 slug 2
1364 whatshername 1
1365 yvonne 1
1366 vacation 2
1367 majorca 1
1368 leave 19
1369 hopefully 2
1370 change 9
1371 ruins 1
1372 snarled 8
1373 blow 3
1374 listening 11
1375 zoo 7
1376 cars 2
1377 alone 20
1378 cry 8
1379 crying 8
1380 screwed 2
1381 wailed 3
1382 dinky 1
1383 duddydums 1
1384 mummy 1
1385 spoil 2
1386 flinging 1
1387 ttto 2
1388 between 22
1389 sobs 1
1390 sp 1
1391 spoils 1
1392 gap 2
1393 mothers 6
1394 doorbell 1
1395 lord 4
1396 frantically 4
1397 piers 15
1398 polkiss 2
1399 scrawny 2
1400 rat 6
1401 peoples 5
1402 backs 3
1403 hit 13
1404 pretending 5
